dataset,eps_y_nm,n_x,n_y,n_z,n_m,ny_req_raw,seed,lumi_ee,lumi_fine,emitt_x,beta_x,beta_y,sigma_z,offset_y,particles,integration_method,n_t,cut_x,cut_y,cut_z,source_dir,filename,lumi_ee_m2,lumi_fine_m2,f_rep,n_b
calibrated,1.0,512,256,64,7050000,132.7,100805,5.81879256e+34,5.760777960000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref,3.64586e+34,3.60951e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,105469,5.79936924e+34,5.73584844e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref,3.63369e+34,3.5938899999999995e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,130471,5.757458280000001e+34,5.69647512e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref,3.6074299999999998e+34,3.56922e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,135135,5.699188320000001e+34,5.63766252e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref,3.5709199999999995e+34,3.5323699999999997e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,143455,6.15427176e+34,6.0842712e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref,3.85606e+34,3.8122e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,145992,5.99598048e+34,5.931182880000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref,3.7568799999999996e+34,3.7162799999999996e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,153768,5.684010360000001e+34,5.622516480000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref,3.5614099999999997e+34,3.5228799999999997e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,159302,5.82126636e+34,5.75816052e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref,3.64741e+34,3.6078699999999996e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,167029,5.852404320000001e+34,5.79210744e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref,3.6669199999999996e+34,3.6291399999999995e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,167815,6.02308056e+34,5.9584585200000005e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref,3.7738599999999998e+34,3.73337e+34,120.0,133.0
calibrated,1.0,512,256,64,7050000,132.7,286038,5.758000920000001e+34,5.696682600000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_256_64_7050000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_286038.ref,3.6077699999999997e+34,3.5693499999999998e+34,120.0,133.0
