dataset,eps_y_nm,n_x,n_y,n_z,n_m,ny_req_raw,seed,lumi_ee,lumi_fine,emitt_x,beta_x,beta_y,sigma_z,offset_y,particles,integration_method,n_t,cut_x,cut_y,cut_z,source_dir,filename,lumi_ee_m2,lumi_fine_m2,f_rep,n_b
frozen,20.0,512,128,64,50000,90.4,100805,1.3365686040000001e+34,1.3090647360000002e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref,8.37449e+33,8.20216e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,105469,1.326612756e+34,1.301159748e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_105469.ref,8.31211e+33,8.15263e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,130471,1.300909176e+34,1.2765207000000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_130471.ref,8.15106e+33,7.99825e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,135135,1.340611272e+34,1.313338824e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_135135.ref,8.39982e+33,8.22894e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,143455,1.34451828e+34,1.316526036e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_143455.ref,8.4243e+33,8.24891e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,145992,1.349189772e+34,1.3203851640000002e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_145992.ref,8.45357e+33,8.27309e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,153768,1.314623604e+34,1.288246512e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_153768.ref,8.23699e+33,8.07172e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,159302,1.322426448e+34,1.296539328e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_159302.ref,8.28588e+33,8.12368e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,167029,1.331509284e+34,1.304094792e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167029.ref,8.34279e+33,8.17102e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,167815,1.311723672e+34,1.2861972480000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_167815.ref,8.21882e+33,8.05888e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,286038,1.309998396e+34,1.284815112e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_286038.ref,8.20801e+33,8.05022e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,360177,1.334126724e+34,1.3053205200000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_360177.ref,8.35919e+33,8.1787e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,479728,1.3174644840000001e+34,1.29236898e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_479728.ref,8.25479e+33,8.09755e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,527875,1.3318604040000001e+34,1.304008608e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_527875.ref,8.34499e+33,8.17048e+33,120.0,133
frozen,20.0,512,128,64,50000,90.4,733579,1.3343246280000002e+34,1.3086864840000001e+34,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_733579.ref,8.36043e+33,8.19979e+33,120.0,133
frozen,40.0,512,128,64,50000,90.4,100805,8.996620080000001e+33,8.83925448e+33,0.9,12.0,0.12,100.0,0.0,0.624,2,6,20.0,20.0,3.5,output_nm,512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.04_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_100805.ref,5.63698e+33,5.53838e+33,120.0,133
