# gp_luminosity_for_wx.csv -- GUINEA-PIG++ C3-250 luminosity for the WarpX code comparison
# generated 2026-09-14T00:41:44Z on S3DF from raw .ref files; repo GitHub_Analysis commit 7c26e768e8ac9ba9271f6b9204a832681f6f1fc8 (working tree has 6 uncommitted paths)
# locus: n_y_cons = 2^ceil(log2(50 * D_y^0.402))
# locus: n_m_cons = 2.305e-7 * D_y^3.300 * n_x * n_y_cons * n_z, n_x = 512, n_z = 64
# locus: qualifies for block 'conservative' iff deck n_y == n_y_cons and deck n_m / n_m_cons in [0.99, 1.10]
# locus: fixed: n_t = 6, cut multipliers 20/20/3.5, integration_method = 2, offset_y = 0, do_photons = 0, do_pairs = 0
# locus: D_y (prompt table): 0.5->137.828 1->97.364 2->68.752 4->48.521 8->34.215 12->27.878 16->24.101 20->21.523
# units: L_* in 1e34 cm^-2 s^-1; L = lumi_ee[m^-2 per crossing] * 1e-4 * n_b * f_rep with n_b=133, f_rep=120 read from each .ref (factor 1.596), applied once
# L_std_1e34 = sample standard deviation (ddof=1); L_sem_1e34 = L_std / sqrt(n_seeds)
# blocks: nominal = tab:code_comparison configuration (512x512x25, n_m=1e5); conservative = on-locus runs above; frozen_extension = 40-100 nm, NOT conservative, never merge
# note: the nominal 20 nm row has do_photons=do_pairs=1 (all other nominal rows 0); runs differing only in those flags agree in lumi_ee to < 0.05%
# note: frozen_extension runs are frozen at n_y=128, n_m=50000 -- not the conservative 20 nm grid (n_y=256, n_m=48411)
# note: frozen_extension D_y computed from each run's echoed beam parameters (no prompt value above 20 nm)
# note: data/lumi_tuned_vs_frozen_highemit.csv 'tuned' and 'frozen' labels point at the same 75 .ref files; exported once, as frozen_extension
# EXCLUDED conservative eps_y=0.5 nm: no completed run at n_y_cons with n_m/n_m_cons in [0.99, 1.10] (n_y_cons=512, n_m_cons=44381750.2; on disk at n_y_cons: n_m=250000 ratio 0.0056 15 seeds)
eps_y_nm,D_y,block,n_x,n_y,n_z,n_t,n_m,n_m_cons,ratio_nm,n_seeds,L_mean_1e34,L_std_1e34,L_sem_1e34,do_photons,do_pairs,deck_path
0.5,137.828,nominal,512,512,25,6,100000,,,15,6.275203872000001,0.31506818056451874,0.08135025441641683,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
1.0,97.364,nominal,512,512,25,6,100000,,,15,4.947435080000002,0.19422109460880294,0.050147670993471255,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
2.0,68.752,nominal,512,512,25,6,100000,,,15,3.922267888000001,0.13348988376875062,0.03446693978156899,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
4.0,48.521,nominal,512,512,25,6,100000,,,15,3.030523104,0.07883198649690772,0.02035433139006477,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
8.0,34.215,nominal,512,512,25,6,100000,,,15,2.224335624,0.030896480607717085,0.007977436990007246,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0.000000_integration_method_2_nt6_seed_*.ref
12.0,27.878,nominal,512,512,25,6,100000,,,15,1.8111759120000002,0.017076842228028022,0.004409221703664272,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.012_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
16.0,24.101,nominal,512,512,25,6,100000,,,15,1.5500555224,0.010500266607501616,0.002711157180106107,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_25_100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.016_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
20.0,21.523,nominal,512,512,25,6,100000,,,15,1.3679591576000003,0.007728978165146816,0.0019956135811209585,1,1,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output/C3_250/512_512_25_test_C3_250_particles_0.624_emittx_0.9_emitty_0.020_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
1.0,97.364,conservative,512,512,64,6,14100000,14096314.188128836,1.0002614734477377,15,6.125498008000002,0.19574281390208562,0.05054057722550368,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_64_14100000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
2.0,68.752,conservative,512,512,64,6,4471286,4471285.853225489,1.0000000328260181,15,4.555367040000001,0.08894500860933795,0.022965502471482744,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_512_64_4471286_test_C3_250_particles_0.624_emittx_0.9_emitty_0.002_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
4.0,48.521,conservative,512,256,64,6,707831,707830.0265147028,1.0000013753094115,15,3.1602364080000007,0.07734443813153312,0.019970248053679845,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_256_64_707831_test_C3_250_particles_0.624_emittx_0.9_emitty_0.004_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
8.0,34.215,conservative,512,256,64,6,223499,223498.91868011263,1.000000363849131,15,2.225697544,0.03623783106528088,0.009356567747900708,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_256_64_223499_test_C3_250_particles_0.624_emittx_0.9_emitty_0.008_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
12.0,27.878,conservative,512,256,64,6,113691,113690.49447995854,1.0000044464582882,15,1.7866836960000003,0.024437497633707114,0.006309734757222053,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_256_64_113691_test_C3_250_particles_0.624_emittx_0.9_emitty_0.012_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
16.0,24.101,conservative,512,256,64,6,70320,70319.62352661465,1.0000053537457465,15,1.5267674352000002,0.018328196540786292,0.00473231999789878,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_256_64_70320_test_C3_250_particles_0.624_emittx_0.9_emitty_0.016_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
20.0,21.523,conservative,512,256,64,6,48411,48410.55802606231,1.000009129701365,15,1.3500570384000001,0.017285060098978563,0.0044629833267692195,0,0,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_256_64_48411_test_C3_250_particles_0.624_emittx_0.9_emitty_0.02_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_*.ref
40.0,15.12701178144644,frozen_extension,512,128,64,6,50000,,,15,0.8981926240000002,0.0055649336496271205,0.0014368596898503398,1,1,/fs/ddn/sdf/group/atlas/d/laithg/GuineaPig_Feb_2025/output_nm/C3_250/512_128_64_50000_test_C3_250_particles_0.624_emittx_0.9_emitty_0.04_betax_12.0_betay_0.12_sigmaz_100_offsety_0_integration_method_2_nt6_seed_*.ref
