# gp_requirements_for_wx.csv -- GUINEA-PIG++ tuning-ladder requirements, re-exported unchanged (no refit)
# generated 2026-09-14T00:41:44Z on S3DF; repo GitHub_Analysis commit 7c26e768e8ac9ba9271f6b9204a832681f6f1fc8
# source: data/gp_calibration_export.csv (written by GP_CALIBRATION.ipynb cell 27, 2026-09-10) for value and D_y;
#         unpublished/error_budget.csv (2026-08-17) for sigma_tot
# n_y_req rows: value = n_y^req (vertical cells)
# n_m_req rows: value = n_m^req / (n_x n_y n_z), i.e. required macroparticles PER CELL, as exported -- multiply by n_x n_y n_z for an absolute n_m
# sigma_tot = total uncertainty on ln(value) (MC, window and jackknife terms in quadrature), dimensionless
# n_seeds: not recorded in the ladder exports; left empty rather than inferred
# D_y for n_m_req rows is as exported (rounded to 2 decimals in the source); for n_y_req rows at full precision
# coverage: n_y_req at 1,2,4,8,12,16,20 nm (no 0.5 nm); n_m_req at 0.5,1,2,4,8,12,20 nm (no 16 nm)
# constant C_y_fit   published 26.2 | stored in export 26.159342866775727 | reproduces: yes
# constant q_n_fit   published 0.402 +- 0.152 | stored in export 0.4018739494488937 +- 0.1515311302538971 | reproduces: yes
# constant C_m_fit   published 1.4e-07 | stored in export 1.4043588502957162e-07 +- 1.3133900976699317e-07 | reproduces: yes
# constant s_fit     published 3.329 +- 0.25 | stored in export 3.3288844446749657 +- 0.2503343720604374 | reproduces: yes
# constant C_y_cons  published 50.0 -- not present in data/gp_constants_export.csv; it is a chosen normalisation, not a ladder fit output
# constant C_m_cons  published 2.305e-07 | stored in export 2.305e-07 | reproduces: yes
# constant s_cons    published 3.515 | stored in export 3.514 | reproduces: NO -- stored s_cons = b_cons + q_pred = 3.300 + 0.214; the published 3.515 uses q_p = 0.215. Effective exponent s-q = 3.300 is identical either way
quantity,eps_y_nm,D_y,value,sigma_tot,n_seeds
n_y_req,1.0,97.3640511378073,132.66493152355466,0.322,
n_y_req,2.0,68.75216923874842,133.54817959007644,0.551,
n_y_req,4.0,48.52082680874171,115.86178030036692,0.657,
n_y_req,8.0,34.21554775844742,113.62270956706864,0.072,
n_y_req,12.0,27.87835762322576,90.85986852707344,0.516,
n_y_req,16.0,24.100805421447365,93.40383025926585,0.03,
n_y_req,20.0,21.522988796342663,90.12731130028916,0.13,
n_m_req,0.5,137.83,0.3730084003092892,0.627,
n_m_req,1.0,97.36,0.1355335550429394,0.394,
n_m_req,2.0,68.75,0.1418950322807474,0.366,
n_m_req,4.0,48.52,0.0287030353150979,0.705,
n_m_req,8.0,34.22,0.0095837431911533,0.179,
n_m_req,12.0,27.88,0.0037178734486448,0.351,
n_m_req,20.0,21.52,0.0013200480902667,0.365,
