label,phase,stage,sim,e_y_nm,nx,ny,nz,nm,seed,nodes,walltime,qos,status,slurm_id,L_rate
P0_truth_m_ey8_s1,P0,truth_m,truth_m,8,8192,256,128,1000000,1,1,00:30:00,overrun,done,56401558,2.934843
P0_truth_all_ey8_s1,P0,truth_all,truth_all,8,16384,1024,256,1000000,1,16,03:29:00,overrun,pending,,
P0_nm_lo_ey8_s1,P0,A_nm,nm_lo,8,8192,256,128,100000,1,1,00:30:00,overrun,done,56356024,3.172625
P0_nm_lo_ey8_s2,P0,A_nm,nm_lo,8,8192,256,128,100000,2,1,00:30:00,overrun,done,56401559,3.046794
P0_nm_lo_ey8_s3,P0,A_nm,nm_lo,8,8192,256,128,100000,3,1,00:30:00,overrun,done,56401560,3.202950
P0_nm_lo_ey8_s4,P0,A_nm,nm_lo,8,8192,256,128,100000,4,1,00:30:00,overrun,done,56401561,3.083335
P0_nm_lo_ey8_s5,P0,A_nm,nm_lo,8,8192,256,128,100000,5,1,00:30:00,overrun,done,56401562,3.148556
P0_nm_mid_ey8_s1,P0,A_nm,nm_mid,8,8192,256,128,250000,1,1,00:30:00,overrun,done,56401563,3.079356
P0_nm_mid_ey8_s2,P0,A_nm,nm_mid,8,8192,256,128,250000,2,1,00:30:00,overrun,done,56401564,3.096393
P0_nm_mid_ey8_s3,P0,A_nm,nm_mid,8,8192,256,128,250000,3,1,00:30:00,overrun,done,56401565,3.084564
P0_nm_mid_ey8_s4,P0,A_nm,nm_mid,8,8192,256,128,250000,4,1,00:30:00,overrun,done,56401566,3.130233
P0_nm_mid_ey8_s5,P0,A_nm,nm_mid,8,8192,256,128,250000,5,1,00:30:00,overrun,done,56401568,3.072286
P0_nm_hi_ey8_s1,P0,A_nm,nm_hi,8,8192,256,128,500000,1,1,00:30:00,overrun,done,56401569,3.014765
P0_nm_hi_ey8_s2,P0,A_nm,nm_hi,8,8192,256,128,500000,2,1,00:30:00,overrun,done,56401570,2.978613
P0_nm_hi_ey8_s3,P0,A_nm,nm_hi,8,8192,256,128,500000,3,1,00:30:00,overrun,done,56401571,3.049163
P0_nm_hi_ey8_s4,P0,A_nm,nm_hi,8,8192,256,128,500000,4,1,00:30:00,overrun,done,56401572,3.098818
P0_nm_hi_ey8_s5,P0,A_nm,nm_hi,8,8192,256,128,500000,5,1,00:30:00,overrun,done,56401573,2.984288
P1_truth_m_ey4_s1,P1,truth_m,truth_m,4,8192,256,128,2500000,1,1,00:30:00,overrun,done,56647724,4.559600
P1_truth_m_ey12_s1,P1,truth_m,truth_m,12,8192,256,128,1000000,1,1,00:30:00,overrun,done,56647725,2.245229
P1_nm_lo_ey4_s1,P1,A_nm,nm_lo,4,8192,256,128,250000,1,1,00:30:00,overrun,done,56401646,4.743960
P1_nm_lo_ey4_s2,P1,A_nm,nm_lo,4,8192,256,128,250000,2,1,00:30:00,overrun,done,56401652,4.732597
P1_nm_lo_ey4_s3,P1,A_nm,nm_lo,4,8192,256,128,250000,3,1,00:30:00,overrun,done,56401653,4.720484
P1_nm_lo_ey4_s4,P1,A_nm,nm_lo,4,8192,256,128,250000,4,1,00:30:00,overrun,done,56401654,4.801030
P1_nm_lo_ey4_s5,P1,A_nm,nm_lo,4,8192,256,128,250000,5,1,00:30:00,overrun,done,56401655,4.656904
P1_nm_mid_ey4_s1,P1,A_nm,nm_mid,4,8192,256,128,500000,1,1,00:30:00,overrun,done,56401656,4.657042
P1_nm_mid_ey4_s2,P1,A_nm,nm_mid,4,8192,256,128,500000,2,1,00:30:00,overrun,done,56401657,4.583519
P1_nm_mid_ey4_s3,P1,A_nm,nm_mid,4,8192,256,128,500000,3,1,00:30:00,overrun,done,56401658,4.705816
P1_nm_mid_ey4_s4,P1,A_nm,nm_mid,4,8192,256,128,500000,4,1,00:30:00,overrun,done,56401659,4.816139
P1_nm_mid_ey4_s5,P1,A_nm,nm_mid,4,8192,256,128,500000,5,1,00:30:00,overrun,done,56401660,4.607394
P1_nm_hi_ey4_s1,P1,A_nm,nm_hi,4,8192,256,128,1000000,1,1,00:30:00,overrun,done,56401574,4.569228
P1_nm_hi_ey4_s2,P1,A_nm,nm_hi,4,8192,256,128,1000000,2,1,00:30:00,overrun,done,56401575,4.627892
