e_y_nm,sigmay_nm,nx,ny,nz,nm,seed,L,solver
8,1.9810,8192,256,128,1000000,1,2.934843,3d
8,1.9810,8192,256,128,100000,1,3.172625,3d
8,1.9810,8192,256,128,100000,2,3.046794,3d
8,1.9810,8192,256,128,100000,3,3.202950,3d
8,1.9810,8192,256,128,100000,4,3.083335,3d
8,1.9810,8192,256,128,100000,5,3.148556,3d
8,1.9810,8192,256,128,250000,1,3.079356,3d
8,1.9810,8192,256,128,250000,2,3.096393,3d
8,1.9810,8192,256,128,250000,3,3.084564,3d
8,1.9810,8192,256,128,250000,4,3.130233,3d
8,1.9810,8192,256,128,250000,5,3.072286,3d
8,1.9810,8192,256,128,500000,1,3.014765,3d
8,1.9810,8192,256,128,500000,2,2.978613,3d
8,1.9810,8192,256,128,500000,3,3.049163,3d
8,1.9810,8192,256,128,500000,4,3.098818,3d
8,1.9810,8192,256,128,500000,5,2.984288,3d
4,1.4008,8192,256,128,2500000,1,4.559600,3d
12,2.4263,8192,256,128,1000000,1,2.245229,3d
4,1.4008,8192,256,128,250000,1,4.743960,3d
4,1.4008,8192,256,128,250000,2,4.732597,3d
4,1.4008,8192,256,128,250000,3,4.720484,3d
4,1.4008,8192,256,128,250000,4,4.801030,3d
4,1.4008,8192,256,128,250000,5,4.656904,3d
4,1.4008,8192,256,128,500000,1,4.657042,3d
4,1.4008,8192,256,128,500000,2,4.583519,3d
4,1.4008,8192,256,128,500000,3,4.705816,3d
4,1.4008,8192,256,128,500000,4,4.816139,3d
4,1.4008,8192,256,128,500000,5,4.607394,3d
4,1.4008,8192,256,128,1000000,1,4.569228,3d
4,1.4008,8192,256,128,1000000,2,4.627892,3d
4,1.4008,8192,256,128,1000000,3,4.652596,3d
4,1.4008,8192,256,128,1000000,4,4.670112,3d
4,1.4008,8192,256,128,1000000,5,4.564162,3d
12,2.4263,8192,256,128,50000,1,2.557788,3d
12,2.4263,8192,256,128,50000,2,2.563211,3d
