step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
0,1.7221216219531226e-09,1.723083203366207e-09,1.723946847093088e-09,1.7211911813920575e-09,1.7157710111702001e-09,1.7129688060848247e-09
1,1.697442906894231e-09,1.6986945473250196e-09,1.6989586082551908e-09,1.696567656690934e-09,1.691226221433742e-09,1.6879012002004545e-09
2,1.6727976425857958e-09,1.6740377129012623e-09,1.6742893158189476e-09,1.6719777386146724e-09,1.6667819307467427e-09,1.663679297007338e-09
3,1.6481873295901125e-09,1.6494790357871247e-09,1.6498914522513937e-09,1.6474229320302986e-09,1.6423844867426566e-09,1.6391558835987607e-09
4,1.6236135572560476e-09,1.624822185292114e-09,1.6256616877837495e-09,1.6229048306651538e-09,1.6180519534896393e-09,1.6147352538782178e-09
5,1.5990780101953617e-09,1.5999691326391537e-09,1.6012355091213077e-09,1.5984251235737327e-09,1.5931839145329656e-09,1.5907856515145966e-09
6,1.5745824753165694e-09,1.5758353344122479e-09,1.5760997800308466e-09,1.5739856021588096e-09,1.568374778694018e-09,1.5665024089040495e-09
7,1.5501288494684843e-09,1.551397985943142e-09,1.551422834718588e-09,1.549588167800911e-09,1.5440333377853898e-09,1.5420169227599007e-09
8,1.5257191477560285e-09,1.5269582750951592e-09,1.5270066149703888e-09,1.5252348401559136e-09,1.5196638971443328e-09,1.5175386053407424e-09
9,1.5013555125940222e-09,1.5025081998299853e-09,1.5027039951901584e-09,1.5009277661871268e-09,1.49588060367701e-09,1.493643831246459e-09
10,1.4770402235732896e-09,1.4783394469007961e-09,1.477974683655135e-09,1.4766692300052804e-09,1.4719338758840395e-09,1.46949834841039e-09
11,1.4527757082204555e-09,1.4543037880465538e-09,1.454159115535519e-09,1.4524616635979955e-09,1.4477048992742656e-09,1.44548102798929e-09
12,1.428564553747147e-09,1.4296792483437352e-09,1.4301273167934184e-09,1.4283076585391332e-09,1.4230078926708177e-09,1.4214723963241977e-09
13,1.4044095198812514e-09,1.4063703383481003e-09,1.4051506445037263e-09,1.404209978778498e-09,1.3989452985609698e-09,1.3974131871944103e-09
14,1.3803135529016907e-09,1.3828728979615742e-09,1.3815894325841026e-09,1.380171574623002e-09,1.3751277464820028e-09,1.373716859619337e-09
15,1.3562798009965871e-09,1.3585069817628785e-09,1.3578656282312008e-09,1.3561955980346852e-09,1.3509049467813959e-09,1.3497715115679493e-09
16,1.332311631088287e-09,1.3348649616314693e-09,1.3338797294944975e-09,1.3322854193799252e-09,1.3262718862297566e-09,1.3257297429687469e-09
17,1.3084126472743684e-09,1.3106701837525133e-09,1.3098684969702137e-09,1.3084446457858108e-09,1.3027651221216525e-09,1.30173678785843e-09
18,1.284586711059896e-09,1.2860988398667724e-09,1.2864632821806374e-09,1.284677141272194e-09,1.2780377189372589e-09,1.2781439576834496e-09
19,1.2608379635718333e-09,1.262448810275281e-09,1.2623180075632982e-09,1.2609870488448535e-09,1.2545988982077503e-09,1.2544156849920498e-09
20,1.2371708499641759e-09,1.2385803279179108e-09,1.2385740673322488e-09,1.2373788147634234e-09,1.2312024906087288e-09,1.2313642584424364e-09
21,1.213590146252675e-09,1.2148419425637585e-09,1.2152344687656623e-09,1.2138572152102535e-09,1.2085774737911456e-09,1.2083919035832703e-09
22,1.1901009888336095e-09,1.19148189850216e-09,1.1917408307941476e-09,1.190427385618224e-09,1.184609766971588e-09,1.1853033484080327e-09
23,1.1667089069779718e-09,1.1673298857847071e-09,1.168083004580867e-09,1.1670948529391667e-09,1.161804470968953e-09,1.1620915276864425e-09
24,1.1434198586159589e-09,1.1433591532765793e-09,1.144480189074983e-09,1.143865571166029e-09,1.1386001266987436e-09,1.1382412286995793e-09
25,1.1202402697581188e-09,1.1202039747886148e-09,1.1213572601573322e-09,1.120745960444677e-09,1.1156513698856967e-09,1.1153107080604432e-09
26,1.0971770779360751e-09,1.0972977311038549e-09,1.0985280289520536e-09,1.0977429501560394e-09,1.0934684600106079e-09,1.092927220238086e-09
27,1.0742377800834113e-09,1.0745472641986858e-09,1.0758150828376351e-09,1.074864026372136e-09,1.0708288414101412e-09,1.0708623421158211e-09
28,1.0514304852953359e-09,1.0516171486517916e-09,1.0526862604787915e-09,1.0521172841238735e-09,1.0483547372060794e-09,1.0481906245659577e-09
29,1.0287639674794888e-09,1.0289032875050146e-09,1.0300916122469888e-09,1.0295114795363281e-09,1.0265983191895174e-09,1.0253579554168107e-09
30,1.0062475082385253e-09,1.0066029224555398e-09,1.007510666029119e-09,1.0070559012823049e-09,1.004409036421124e-09,1.002507006153814e-09
31,9.838887191853678e-10,9.842292494445844e-10,9.847159718337253e-10,9.847586067627427e-10,9.827024607892917e-10,9.803798032337257e-10
32,9.616865125270357e-10,9.618645772781783e-10,9.629358812214482e-10,9.626206659109743e-10,9.6012125830336e-10,9.587198377050026e-10
33,9.396238277990287e-10,9.394611145962385e-10,9.406018566224634e-10,9.406288335646141e-10,9.38269606181066e-10,9.364110041427234e-10
34,9.176685911024917e-10,9.169931780266063e-10,9.185818937992435e-10,9.187515511186587e-10,9.168239845872173e-10,9.151206312319009e-10
35,8.957766996462668e-10,8.949829060847283e-10,8.964014759358068e-10,8.969383755610839e-10,8.950171438250986e-10,8.92831696981533e-10
36,8.738823303799557e-10,8.722301906453602e-10,8.733115898002269e-10,8.751187297293137e-10,8.73354804041309e-10,8.704812717967042e-10
37,8.51879675736032e-10,8.497660049012076e-10,8.492076111897911e-10,8.531894652918811e-10,8.511654623744123e-10,8.476245065841613e-10
38,8.296099200885902e-10,8.267064316924186e-10,8.244043481392383e-10,8.309832305846318e-10,8.278179980569387e-10,8.230796820342486e-10
39,8.068415138721629e-10,8.026628984293015e-10,7.984542210219349e-10,8.082370023327323e-10,8.025185005285624e-10,7.97092174595574e-10
40,7.832233958572521e-10,7.764306377427017e-10,7.696567341045172e-10,7.845827982642247e-10,7.752985929879317e-10,7.677044877213753e-10
41,7.582357556628848e-10,7.471149826772829e-10,7.370776099741279e-10,7.59527453760693e-10,7.456386031480863e-10,7.365961035115691e-10
42,7.31174300671053e-10,7.132793004201535e-10,6.982428472733549e-10,7.323907760366479e-10,7.117282172624708e-10,6.958140717692862e-10
43,7.011379020886821e-10,6.729792183592617e-10,6.501446979720341e-10,7.022577196295871e-10,6.706831985493648e-10,6.478354263259622e-10
44,6.669899562619619e-10,6.2442100622295e-10,5.894916728582413e-10,6.679853058953261e-10,6.219363498330521e-10,5.871311919833577e-10
45,6.273801269947778e-10,5.635231008268627e-10,5.120141230259071e-10,6.282553561147753e-10,5.615773715945353e-10,5.091121045027196e-10
46,5.809109444456577e-10,4.880387455621809e-10,3.99596451308486e-10,5.817291010020362e-10,4.861292316181496e-10,3.947123062468681e-10
47,5.265220891691856e-10,3.9286926139911264e-10,2.54710011985765e-10,5.274186869576465e-10,3.9273290615448245e-10,2.590682828578936e-10
48,4.643851029858439e-10,2.81163904907456e-10,1.4311770314505376e-10,4.6555641471609434e-10,2.8080825160356003e-10,1.4347616935219532e-10
49,3.9763698441833207e-10,2.0225693167282786e-10,1.2502595833131656e-10,3.9918974297504087e-10,2.041159254461475e-10,1.2663132874421788e-10
50,3.345589714922249e-10,1.9502781102836757e-10,1.5631482180240662e-10,3.3623864027680266e-10,1.9608894001829183e-10,1.5674068570982772e-10
51,2.8872682640586155e-10,2.1739204845722352e-10,2.0570202901829499e-10,2.8981463814237247e-10,2.165370128505989e-10,2.0396126125332423e-10
52,2.7061521330891607e-10,2.4158762848211844e-10,2.4345486132090353e-10,2.7042322221281956e-10,2.391427422570589e-10,2.403453683594848e-10
53,2.737869570152898e-10,2.453005446622026e-10,2.3937496039418087e-10,2.7247130149990204e-10,2.417160587397893e-10,2.311117830837434e-10
54,2.8032332650211465e-10,2.119512928836926e-10,1.7348749922305375e-10,2.7864088717166343e-10,2.097554977901414e-10,1.7344424892879096e-10
55,2.786302281017906e-10,1.971591071034805e-10,1.5119519741089475e-10,2.771506332457455e-10,1.9739088160274662e-10,1.5109032452967735e-10
56,2.6807431756163104e-10,2.024352392308031e-10,1.6555828640782752e-10,2.6699365828164306e-10,2.0141125657147379e-10,1.6451302479218174e-10
57,2.545563146227643e-10,1.9740999907105895e-10,1.7341603191511647e-10,2.5412030097726467e-10,1.957845330333556e-10,1.7134457050311613e-10
58,2.4477889207881673e-10,1.864445199096843e-10,1.6853691941083572e-10,2.4502824369950263e-10,1.853168887254398e-10,1.6744029378845724e-10
59,2.406285385516062e-10,1.8991949225424877e-10,1.508834439097962e-10,2.4101171577644654e-10,1.8943816949107528e-10,1.5371625645807977e-10
60,2.3916944214513146e-10,1.8807509608910462e-10,1.5881262661451648e-10,2.3905870539480433e-10,1.8763841858620025e-10,1.577728382165356e-10
61,2.376035125365129e-10,1.8256306989046254e-10,1.583817877990667e-10,2.3703255358887383e-10,1.821101963064941e-10,1.5897830207091238e-10
62,2.3522531719207985e-10,1.8394245748250632e-10,1.5400555232433021e-10,2.348287700948215e-10,1.8416970479359354e-10,1.5833128287333203e-10
63,2.336589663310945e-10,1.779857628376262e-10,1.4882331159547666e-10,2.331323368506208e-10,1.7784652804790805e-10,1.471981567308614e-10
64,2.338920713669874e-10,1.81569782137291e-10,1.555033471257101e-10,2.3315969960733954e-10,1.805226046823435e-10,1.5474763266651943e-10
65,2.358007375681524e-10,1.8841849174155932e-10,1.615032757433318e-10,2.357729859277124e-10,1.8801775371336772e-10,1.6343877185214516e-10
66,2.380636231086185e-10,1.808371524765561e-10,1.5406862841155875e-10,2.386413790323585e-10,1.8099487311054088e-10,1.5190419354035253e-10
67,2.4031745471774415e-10,1.8656419484604398e-10,1.5908456381817656e-10,2.4061454153025784e-10,1.864576658795928e-10,1.5750137979577965e-10
68,2.4192667828027564e-10,1.8405363291516164e-10,1.5261884792935523e-10,2.415804627633454e-10,1.8404099392426284e-10,1.535576790257724e-10
69,2.452114554834001e-10,1.9166681961997994e-10,1.7030505490152345e-10,2.4477436539568927e-10,1.9089710194054828e-10,1.691595043028293e-10
70,2.5112452514127583e-10,1.9410699322513641e-10,1.6114046942551097e-10,2.5112866241758725e-10,1.9252037724716165e-10,1.591039944659212e-10
71,2.5923746340990353e-10,1.981462819493263e-10,1.6512306022573506e-10,2.594320842769059e-10,1.9719552365839416e-10,1.6159626329925356e-10
72,2.680458346954804e-10,2.0515639272803589e-10,1.7522733559697624e-10,2.6772072223561224e-10,2.0499449123606243e-10,1.737894066082533e-10
73,2.7671747335317157e-10,2.0807970268946516e-10,1.7332854290324937e-10,2.75579531131495e-10,2.0796340732008447e-10,1.7364884399947543e-10
74,2.8582727352973205e-10,2.173746253005783e-10,1.8040780323376218e-10,2.84325101835415e-10,2.1804491682894419e-10,1.79495704424922e-10
75,2.9673448103621713e-10,2.2535699378213616e-10,1.8759186091645848e-10,2.958629746460022e-10,2.270631473862923e-10,1.9199587679818887e-10
76,3.1037001089831445e-10,2.3593190712238305e-10,1.9792406500079362e-10,3.1080379123111884e-10,2.3656285304140904e-10,1.9875643834219818e-10
77,3.26994934407437e-10,2.454142309200525e-10,2.0557214586289906e-10,3.287203919556397e-10,2.464164452957443e-10,2.0592341738090326e-10
78,3.4638763536857683e-10,2.63925268330559e-10,2.200577437654342e-10,3.4880149307425645e-10,2.643141189924637e-10,2.2046332458982366e-10
79,3.6804237879980767e-10,2.811163227089662e-10,2.3433606792980527e-10,3.703185387758906e-10,2.821545231519269e-10,2.343847017184231e-10
80,3.918510390397533e-10,2.9965827594234276e-10,2.4754877959217714e-10,3.932338287589137e-10,2.996212886119768e-10,2.4774357198932904e-10
81,4.1795611166993007e-10,3.1912303650633566e-10,2.6969261621345244e-10,4.1800089587824936e-10,3.179712868237339e-10,2.613871444915907e-10
82,4.4644683338871344e-10,3.4168263550722276e-10,2.9350483360429593e-10,4.4504117057705044e-10,3.3910776926461945e-10,2.8152499803339326e-10
83,4.77399478723336e-10,3.6422976619732086e-10,3.131598380747447e-10,4.745848165961097e-10,3.6103222058017e-10,3.0156320218751023e-10
84,5.108510404608892e-10,3.900962420903159e-10,3.310164936099949e-10,5.067455893028643e-10,3.846818914231553e-10,3.232821012969609e-10
85,5.467862709076165e-10,4.191481994620365e-10,3.5329303043885926e-10,5.415247550701831e-10,4.127208640628449e-10,3.4907149155321517e-10
86,5.851693350632012e-10,4.5332338512710196e-10,3.834859239780288e-10,5.788397597493222e-10,4.455698415392223e-10,3.784908793101373e-10
87,6.259145342028668e-10,4.887699646970725e-10,4.153493151548035e-10,6.18583562354446e-10,4.801622722760794e-10,4.094994253990282e-10
88,6.688849786824326e-10,5.261891239635789e-10,4.475678020715098e-10,6.606426362649105e-10,5.160947677067948e-10,4.41490371443451e-10
89,7.139460657591694e-10,5.62739557465035e-10,4.810418361373641e-10,7.048621171663831e-10,5.523291448090726e-10,4.730327671965236e-10
90,7.609774759725608e-10,6.023307998759611e-10,5.150260866609592e-10,7.510705752024491e-10,5.905697120137971e-10,5.05165275047767e-10
91,8.09774141353099e-10,6.428980505260785e-10,5.501650926539869e-10,7.990878558406395e-10,6.294704238929725e-10,5.433261339461655e-10
92,8.601429731781525e-10,6.837830187699813e-10,5.912252396873507e-10,8.487428478641412e-10,6.69307612213999e-10,5.77546951628606e-10
93,9.11905673079298e-10,7.261027447095529e-10,6.291919457008309e-10,8.998541414975518e-10,7.101637174577377e-10,6.200448887386856e-10
94,9.648733272413098e-10,7.709111486679813e-10,6.680595338903073e-10,9.522657870452738e-10,7.517291905810524e-10,6.568923134492396e-10
95,1.0189564716171345e-09,8.15654673425611e-10,7.086039513297404e-10,1.0058316477672492e-09,7.962278812903744e-10,6.874609791028983e-10
96,1.0740317298011155e-09,8.615826288551502e-10,7.494165345944734e-10,1.0604218256803957e-09,8.404675679080225e-10,7.263683445077871e-10
97,1.130001393267796e-09,9.089156468423129e-10,7.920294355094816e-10,1.115922074415416e-09,8.861209054902959e-10,7.663535255349114e-10
98,1.1867391884475603e-09,9.577704390664342e-10,8.345017921196604e-10,1.1722402558283185e-09,9.329607674076962e-10,8.155129777216042e-10
99,1.2441180794226616e-09,1.0053707498054374e-09,8.780925949745431e-10,1.2291090967688766e-09,9.818205366833812e-10,8.576981609938785e-10
100,1.3021172456342729e-09,1.0548884588705157e-09,9.21735287874668e-10,1.2866795100107356e-09,1.0304854193028723e-09,8.912925451086576e-10
101,1.3604763082550585e-09,1.1038087618473232e-09,9.594923259309586e-10,1.3446954269088168e-09,1.0778833500481393e-09,9.428582479842411e-10
102,1.4194101107529402e-09,1.1536249618711423e-09,1.0118590540546979e-09,1.403311870270554e-09,1.1271121474339028e-09,9.866506979703855e-10
103,1.4786007807302884e-09,1.203280027478686e-09,1.0576468519653232e-09,1.4622318132272307e-09,1.1778153970827196e-09,1.0203281343580723e-09
104,1.5381138062759322e-09,1.2532282118175482e-09,1.1025800181934963e-09,1.5213819608731839e-09,1.228979732362821e-09,1.064375083092072e-09
105,1.5977965169702953e-09,1.304263930794322e-09,1.1477243673467403e-09,1.580807205191391e-09,1.278191918895914e-09,1.1084455077521759e-09
106,1.6575486056782037e-09,1.3543585302616574e-09,1.1923830041147673e-09,1.6398620715325569e-09,1.328953155305162e-09,1.1531751670498849e-09
107,1.7174404759719713e-09,1.4050099997778597e-09,1.237933039390493e-09,1.6996803200257092e-09,1.3796465702285075e-09,1.1974258143024615e-09
108,1.7773461439868656e-09,1.4569412704829732e-09,1.284659906009805e-09,1.7587899516496679e-09,1.4305256118669337e-09,1.2415993910957985e-09
109,1.8352607798412085e-09,1.5088864346210916e-09,1.3306309069874195e-09,1.817564054838962e-09,1.4817329868952999e-09,1.2862414415720585e-09
110,1.893746904498488e-09,1.5599854960890213e-09,1.377161192386583e-09,1.8752931609782487e-09,1.5325434730989746e-09,1.345644160202744e-09
111,1.9511062153340727e-09,1.6119570118973799e-09,1.4241948466239902e-09,1.9333090295670858e-09,1.582819172029997e-09,1.4048486586097933e-09
112,2.007914984229882e-09,1.662741696554522e-09,1.470463306569476e-09,1.990541056117276e-09,1.6335939875416237e-09,1.4511749003258413e-09
113,2.0643801450879686e-09,1.7145948643769345e-09,1.517078036713022e-09,2.0475113075086668e-09,1.685408363905196e-09,1.4839868723924728e-09
114,2.120370511360647e-09,1.7655983811869378e-09,1.5632796549414282e-09,2.103367860824782e-09,1.736531139148494e-09,1.530538646276311e-09
115,2.1758876358651357e-09,1.8166280340282208e-09,1.6099302871388645e-09,2.1579890108539017e-09,1.7866591761011015e-09,1.5764488740588863e-09
116,2.231423019936115e-09,1.867747236819849e-09,1.6714136495937266e-09,2.2128616361367084e-09,1.8381250216175586e-09,1.638169438298361e-09
117,2.2853086561363023e-09,1.9188602600781355e-09,1.7184771832064948e-09,2.2670503489419877e-09,1.8877631319902948e-09,1.6838353649658389e-09
118,2.339039811528979e-09,1.969665107921694e-09,1.764807077824615e-09,2.321030911785556e-09,1.9377734201990535e-09,1.7149623797382824e-09
119,2.3914940195460947e-09,2.020937000709619e-09,1.8121299751959105e-09,2.3727036894399735e-09,1.98740487270478e-09,1.761034118074736e-09
120,2.4397284593200066e-09,2.07020212787072e-09,1.8584962037341778e-09,2.423235978631832e-09,2.036129112207126e-09,1.8229117329190806e-09
121,2.4894631258644935e-09,2.119882665706162e-09,1.9061522005610766e-09,2.472127476325687e-09,2.085411498104167e-09,1.869902627812315e-09
122,2.536227867047868e-09,2.1675470716237063e-09,1.9530920965700205e-09,2.5173543985165628e-09,2.1334197996044817e-09,1.9166725123778568e-09
123,2.580969875107317e-09,2.215855892874906e-09,2.0004416897482505e-09,2.561410953133735e-09,2.179862040003804e-09,1.962016925922008e-09
124,2.6229850631895346e-09,2.26350653264729e-09,2.0472904623860912e-09,2.6026445427409246e-09,2.2266740561966376e-09,1.9907923792540756e-09
125,2.6628709423819927e-09,2.3108296034035097e-09,2.0933596059582603e-09,2.6430291666268757e-09,2.2740529315018974e-09,2.0375244582189393e-09
126,2.7022714325674e-09,2.3571408540347544e-09,2.1401618151244015e-09,2.6783843100786214e-09,2.320092525321222e-09,2.1014985615543014e-09
127,2.74221686082543e-09,2.4035762297877587e-09,2.1868240022734395e-09,2.718178023330823e-09,2.366722303253383e-09,2.1482399676497645e-09
128,2.780097378308523e-09,2.448190222241079e-09,2.232841040108839e-09,2.7575457634188483e-09,2.4122441802966195e-09,2.1947223478093287e-09
