step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
0,9.902552515507066e-09,9.94109558820694e-09,1.0335115688089092e-08,9.099702147584779e-09,9.277286239566024e-09,9.576566322585569e-09
1,9.76119063279503e-09,9.75732759874557e-09,1.0168534339389115e-08,8.96749210107789e-09,9.126283882466973e-09,9.436768547350908e-09
2,9.620019526212208e-09,9.613265209684363e-09,1.0117252008569164e-08,8.835475491812573e-09,9.002361518606809e-09,9.264986316341646e-09
3,9.479047719428225e-09,9.461879326284465e-09,9.966091235077063e-09,8.70366112192674e-09,8.845812785999924e-09,9.36236589284125e-09
4,9.338284238405305e-09,9.334254808152918e-09,9.764808740380154e-09,8.572058321059778e-09,8.691906975857866e-09,9.241277499339988e-09
5,9.197738647888596e-09,9.18956961935421e-09,9.640093252464229e-09,8.440676985251498e-09,8.559729915842921e-09,9.136103094772008e-09
6,9.057421091019517e-09,9.058173018326267e-09,9.460298927346759e-09,8.309527619212333e-09,8.445808605848356e-09,8.898766370437626e-09
7,8.917342332376688e-09,8.885474540593753e-09,9.366688512367454e-09,8.178621382295736e-09,8.339548035211066e-09,8.725339671549251e-09
8,8.777513804781168e-09,8.74726672888091e-09,9.244033468485711e-09,8.047970138539952e-09,8.255623464268195e-09,8.417211710866142e-09
9,8.637947660239113e-09,8.607271107081211e-09,9.091321407764017e-09,7.917586511185794e-09,8.131739578751377e-09,8.276053546503996e-09
10,8.49865682543545e-09,8.441933234336303e-09,8.87481262087945e-09,7.787483942120638e-09,7.995359027710293e-09,8.344983784813225e-09
11,8.35965506223788e-09,8.292645204493365e-09,8.870790410843327e-09,7.657676756749261e-09,7.867269159226666e-09,8.015779218772308e-09
12,8.220957033720035e-09,8.225814651079846e-09,8.679069945535147e-09,7.528180234845972e-09,7.760953681373756e-09,7.834372208038957e-09
13,8.082578376269505e-09,8.088641042048668e-09,8.626966248742484e-09,7.399010688003508e-09,7.631017010246393e-09,7.739837984671592e-09
14,7.944535778408269e-09,7.923345465261963e-09,8.786049621141928e-09,7.270185544362109e-09,7.480070244803456e-09,7.614378095188399e-09
15,7.806847067022884e-09,7.822729314165936e-09,8.415261892189824e-09,7.1417234413768265e-09,7.325336912210401e-09,7.45415143419779e-09
16,7.669531301779101e-09,7.668796885442798e-09,8.35636623672386e-09,7.013644327464126e-09,7.156886299856927e-09,7.33301836326417e-09
17,7.53260887858043e-09,7.547662801979284e-09,8.571565675261381e-09,6.885969573460743e-09,7.045993207389931e-09,7.2011086908423986e-09
18,7.3961016430269856e-09,7.422705343156463e-09,8.08227508765711e-09,6.758722094929277e-09,6.916288430539182e-09,7.324254607634692e-09
