step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,2.860002603787934e-09,2.8735012811640515e-09,2.912324867349261e-09,2.815420616474466e-09,2.8502737152768967e-09,2.860714519772827e-09
31,2.7963667205583864e-09,2.816980640669482e-09,2.8488251401063045e-09,2.7532265224521656e-09,2.7795296781879265e-09,2.801014801715853e-09
32,2.733205319219208e-09,2.7522708187437426e-09,2.7833453284145975e-09,2.691509807699776e-09,2.708455232650896e-09,2.718824392453144e-09
33,2.6705163383233225e-09,2.68743878837755e-09,2.717815539922152e-09,2.6302707913531664e-09,2.650619392655484e-09,2.6651314123607773e-09
34,2.6082775333392454e-09,2.62614520830908e-09,2.6592789144832547e-09,2.569499366986714e-09,2.5797873931784837e-09,2.5908707452044125e-09
35,2.5464674106279153e-09,2.5644386771308515e-09,2.598952922981178e-09,2.5091697541311706e-09,2.5196253521206538e-09,2.526687403419045e-09
36,2.4850680382631994e-09,2.5027484684452978e-09,2.535371780002015e-09,2.44922915493686e-09,2.464683668084726e-09,2.4645741271254017e-09
37,2.4240233181177087e-09,2.4316023127363696e-09,2.470206137613951e-09,2.3895917195880037e-09,2.400685661894185e-09,2.4014694724770617e-09
38,2.3632090313521464e-09,2.3665899370394304e-09,2.407156352285684e-09,2.3301414129807162e-09,2.3334814174497945e-09,2.339007074293099e-09
39,2.3024414887689654e-09,2.3095699806198877e-09,2.343882135260543e-09,2.2707153209578843e-09,2.273934353674899e-09,2.2750954195231324e-09
40,2.241438921206091e-09,2.2556940401437585e-09,2.2819390431382438e-09,2.211034906579232e-09,2.210436549772232e-09,2.2253315231684305e-09
41,2.179750611456549e-09,2.1891108855831543e-09,2.210069962885125e-09,2.1506544604438083e-09,2.150583581819046e-09,2.144757938030376e-09
42,2.1167637025559124e-09,2.117182011448413e-09,2.14704354959927e-09,2.088970073606271e-09,2.0812763096389278e-09,2.0747254037809004e-09
43,2.0516819485658073e-09,2.0469385584204975e-09,2.0528384511080213e-09,2.025161931157412e-09,2.0083761278833445e-09,1.9950629454679077e-09
44,1.983378971379739e-09,1.9702950558260706e-09,1.9580558164842063e-09,1.9580391086158633e-09,1.919208280441728e-09,1.907147648212408e-09
45,1.910291734815118e-09,1.879437915956607e-09,1.8518326609557585e-09,1.886002413141843e-09,1.8207596765316065e-09,1.8011511751804165e-09
46,1.8304207913821615e-09,1.7685329360339748e-09,1.729735804853021e-09,1.807152384082897e-09,1.7216657841214714e-09,1.673277109832353e-09
47,1.7413853490351828e-09,1.6337541771149775e-09,1.5799023671583868e-09,1.7193128101268726e-09,1.597939138317401e-09,1.5048166416272987e-09
48,1.6406061165753534e-09,1.4917916362897659e-09,1.3915799181324587e-09,1.6200160976956925e-09,1.444254505006377e-09,1.3205720333426665e-09
49,1.525622342213535e-09,1.3073867923581548e-09,1.159468430406138e-09,1.5068578972877234e-09,1.2707981273257755e-09,1.098232513135725e-09
50,1.394823350851385e-09,1.1044278112465641e-09,8.553685287346485e-10,1.378564282391676e-09,1.0671380778521309e-09,8.143571853768482e-10
51,1.2490285100110513e-09,8.71589054441866e-10,5.964571505607679e-10,1.2365590474436488e-09,8.323057704821052e-10,5.661410687885784e-10
52,1.0937956696757061e-09,6.559019955875895e-10,4.5645048688151117e-10,1.0868961613730235e-09,6.427440934054714e-10,4.5851705333214487e-10
53,9.423308483444452e-10,5.74121820865507e-10,4.377107135816745e-10,9.426971254865797e-10,5.735548094587415e-10,4.5362788199947864e-10
54,8.174472954560971e-10,5.804704748503486e-10,5.157881899241978e-10,8.256462965605888e-10,5.852022427535449e-10,5.221868335980302e-10
55,7.460850197671186e-10,6.30740023478305e-10,6.259564635884098e-10,7.597227843572674e-10,6.366910293577054e-10,6.269472850428188e-10
56,7.381949703522207e-10,7.090540438938448e-10,7.264241694271554e-10,7.516946955599003e-10,7.123111765782841e-10,7.305451841026145e-10
57,7.702009261952527e-10,7.448530450386891e-10,7.662685095915407e-10,7.788891359870316e-10,7.485537382356933e-10,7.627766418648327e-10
58,8.056757601968564e-10,7.124410341549148e-10,6.723072966040949e-10,8.083345599638533e-10,7.060863247074856e-10,6.701640800283729e-10
59,8.215759079940293e-10,6.439786709733544e-10,5.25427675402503e-10,8.192170447279207e-10,6.310611361965927e-10,5.120681147173105e-10
60,8.13736926356877e-10,5.909240722761287e-10,4.775256417292705e-10,8.087251403622625e-10,5.872913101535535e-10,4.679321847987758e-10
61,7.926402708650204e-10,6.012415007579288e-10,4.979938350739495e-10,7.866780099875922e-10,6.038494588079178e-10,5.043541287346599e-10
62,7.739574162872484e-10,6.350535526693556e-10,5.735061678203454e-10,7.667595131542414e-10,6.329848614700372e-10,5.717137932900896e-10
63,7.677802326646686e-10,6.64725018785105e-10,6.248030226836506e-10,7.590985036816341e-10,6.449467779490527e-10,6.004407534167133e-10
