step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,1.0084698371429569e-09,1.0073329466072374e-09,1.006279036881402e-09,1.0082207362993381e-09,1.0079151352577634e-09,1.0078706335901902e-09
31,9.860530547552778e-10,9.85211800337911e-10,9.841545521476692e-10,9.858613050367345e-10,9.856556420623938e-10,9.85427373569853e-10
32,9.637918278053345e-10,9.6301889532437e-10,9.61564722782031e-10,9.63658915092673e-10,9.638407066007485e-10,9.62757671248246e-10
33,9.41670166173001e-10,9.406829194628979e-10,9.394393847610977e-10,9.415981685180243e-10,9.418755857748924e-10,9.405618199868482e-10
34,9.196567725543327e-10,9.1880448646087e-10,9.171312456161665e-10,9.196504471203823e-10,9.19806607421899e-10,9.183682866302499e-10
35,8.977056044170159e-10,8.967465838062606e-10,8.945336547350109e-10,8.977733128694848e-10,8.980565107312721e-10,8.958671186362823e-10
36,8.757481951921487e-10,8.744982026484296e-10,8.720266861717695e-10,8.758970978462459e-10,8.753962334264627e-10,8.727620929992434e-10
37,8.536793000165026e-10,8.514182548497417e-10,8.48849171766652e-10,8.539062181372034e-10,8.528300103394782e-10,8.498038746641964e-10
38,8.313397755602527e-10,8.284120487088956e-10,8.244274770867857e-10,8.316228256386315e-10,8.285816740349666e-10,8.253761588012279e-10
39,8.08488258936985e-10,8.032410783198915e-10,7.982277985357751e-10,8.087910772464531e-10,8.033995270053099e-10,7.989004543691463e-10
40,7.847597488657545e-10,7.759106430521016e-10,7.690525310445236e-10,7.850519437969177e-10,7.766371022545925e-10,7.699513191868537e-10
41,7.596278950645285e-10,7.461417516049916e-10,7.356842223553463e-10,7.598956685956162e-10,7.462888187566149e-10,7.364232746803233e-10
42,7.323799603259948e-10,7.116012717216776e-10,6.962372454678278e-10,7.326119345327088e-10,7.120137239939455e-10,6.962922694818086e-10
43,7.020971858981306e-10,6.712793475100208e-10,6.473989043171304e-10,7.022683882216849e-10,6.713700862332454e-10,6.469773274747906e-10
44,6.676403029729764e-10,6.225274335437525e-10,5.865795208674777e-10,6.677188479750812e-10,6.228004753290177e-10,5.85801227556316e-10
45,6.276965273945546e-10,5.615646739116019e-10,5.024765002080777e-10,6.276703635648806e-10,5.617922886192779e-10,5.064180515882785e-10
46,5.809574279156973e-10,4.85465859718351e-10,3.927365401779514e-10,5.808396443036628e-10,4.84805271996908e-10,3.9088172079806753e-10
47,5.264880015504107e-10,3.909252306052502e-10,2.561300803952251e-10,5.263003592760508e-10,3.894159856315266e-10,2.4545119605951147e-10
48,4.645647783992584e-10,2.7883574616563263e-10,1.4231419495918393e-10,4.643692859655854e-10,2.7657851624278437e-10,1.4052571694667126e-10
49,3.9826104112937886e-10,2.0355464099770245e-10,1.270523756904875e-10,3.9824332012733806e-10,2.0338378888096818e-10,1.2783486393832353e-10
50,3.355355475702504e-10,1.9633364847949093e-10,1.5789690344180734e-10,3.3601949212164703e-10,1.97762841549335e-10,1.5973545284805958e-10
51,2.894497849113992e-10,2.1711227150499073e-10,2.0424231196896855e-10,2.9072655248315037e-10,2.1900422164867702e-10,2.0696353563260248e-10
52,2.702490142682118e-10,2.3960826226155364e-10,2.392886771304531e-10,2.7227745754504646e-10,2.410360235539331e-10,2.417011894531098e-10
53,2.7227460388441286e-10,2.3941990677177096e-10,2.311413715192232e-10,2.7466399489456913e-10,2.418648947127315e-10,2.327010534071867e-10
54,2.784593321879108e-10,2.0863860296510344e-10,1.7119004536422735e-10,2.807265142734204e-10,2.0926681521405909e-10,1.735969523965266e-10
55,2.7716417635510443e-10,1.9650706807082025e-10,1.4962252577199717e-10,2.788573827733266e-10,1.9701871436223586e-10,1.493519036886925e-10
56,2.6727947096420897e-10,2.0149660760535418e-10,1.6427406787093438e-10,2.6820966073967714e-10,2.0133734678823897e-10,1.6419309637319474e-10
57,2.5439041832115257e-10,1.9493521501888974e-10,1.7401310986071948e-10,2.5488327087590976e-10,1.9485383552127627e-10,1.7421457688267287e-10
58,2.4467736070152785e-10,1.8536397802751648e-10,1.6727442565495152e-10,2.454091826826742e-10,1.8645777288530763e-10,1.6847386196621423e-10
59,2.397868539966329e-10,1.8847485470854605e-10,1.4928463751472692e-10,2.410576505902339e-10,1.8915782965439722e-10,1.5097516418804582e-10
60,2.377271459813493e-10,1.8679460315293738e-10,1.591606453451517e-10,2.390569971626305e-10,1.8608111614118576e-10,1.5749264874761821e-10
61,2.36256949324003e-10,1.828597631470949e-10,1.5872737190533558e-10,2.371138884988053e-10,1.8281942838817252e-10,1.58349592512212e-10
62,2.3436699075284455e-10,1.8164538640654583e-10,1.5323801665612155e-10,2.3483322960559855e-10,1.8233556821762107e-10,1.5572646009374995e-10
63,2.3285411873001133e-10,1.751725199558796e-10,1.4580942200704973e-10,2.3341697165615073e-10,1.7541697216625527e-10,1.4601146593924465e-10
64,2.328312046600127e-10,1.8133621999071046e-10,1.5454508198216523e-10,2.3378051304309665e-10,1.8142909708917984e-10,1.542341730761521e-10
65,2.354117274330074e-10,1.8808926456366089e-10,1.620019316781195e-10,2.364009682491865e-10,1.881560363055063e-10,1.6192361785683006e-10
66,2.3835029692004557e-10,1.7986089525178925e-10,1.519431507349575e-10,2.3908226878607533e-10,1.7998398617922163e-10,1.5058523360970806e-10
67,2.401570983784963e-10,1.870334709751661e-10,1.5579944144065535e-10,2.4046745631329794e-10,1.871323946672121e-10,1.5891310260197492e-10
