step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,1.0052330569384772e-09,1.0041794132145752e-09,1.0037154088063603e-09,1.0074756457521593e-09,1.0062473440761205e-09,1.0059652234588657e-09
31,9.829292813608996e-10,9.81426149988096e-10,9.812832493703763e-10,9.851410730254164e-10,9.834212989621887e-10,9.831478070036216e-10
32,9.607818065446338e-10,9.592128619894301e-10,9.588312962307177e-10,9.62965293381786e-10,9.616916638543595e-10,9.609531175143063e-10
33,9.387748887779123e-10,9.378702366855152e-10,9.372664413490289e-10,9.40933896449787e-10,9.389676062608002e-10,9.39178484998362e-10
34,9.168789075238041e-10,9.160722611095574e-10,9.155099611446661e-10,9.190151690727369e-10,9.164760890707783e-10,9.166267833924535e-10
35,8.950481383253208e-10,8.937605797420755e-10,8.93106064056143e-10,8.971614414586512e-10,8.941967477806405e-10,8.93733045158572e-10
36,8.732106898393913e-10,8.717040025470351e-10,8.70801045896153e-10,8.753034710376198e-10,8.719168687005666e-10,8.715063362782005e-10
37,8.512558917980524e-10,8.48921610628442e-10,8.469338306054154e-10,8.533363387687021e-10,8.495814182174021e-10,8.482904691945316e-10
38,8.29013931864012e-10,8.245452011437869e-10,8.226581167037082e-10,8.31100098622034e-10,8.265309335520067e-10,8.238172572018135e-10
39,8.062290629929395e-10,7.991343177855692e-10,7.968043996204736e-10,8.083506051956458e-10,8.021509045826596e-10,7.977749226643917e-10
40,7.82535221380611e-10,7.726044668785388e-10,7.678916937892692e-10,7.847240281668736e-10,7.757226704994018e-10,7.684284714618316e-10
41,7.574285950527026e-10,7.428662428301934e-10,7.339679586768315e-10,7.597030230424169e-10,7.461463584431195e-10,7.356459814846695e-10
42,7.302241844492616e-10,7.091443146318833e-10,6.94898496009827e-10,7.325872954767682e-10,7.124722320521745e-10,6.96125689993976e-10
43,7.000040865022285e-10,6.695143317070325e-10,6.462440422859236e-10,7.024616581699375e-10,6.726603721700414e-10,6.475772640807799e-10
44,6.656059325371428e-10,6.197983316950852e-10,5.847794375830361e-10,6.681724255667544e-10,6.236520307628833e-10,5.867353674589365e-10
45,6.256991318818063e-10,5.587372357575925e-10,5.060694086878293e-10,6.283905421572603e-10,5.633050274059998e-10,5.090678360766303e-10
46,5.789682441602799e-10,4.833456788465352e-10,3.9052925496532587e-10,5.817952652848526e-10,4.873335187484405e-10,3.9456972925415673e-10
47,5.244911916442235e-10,3.885724891713785e-10,2.4746874292747056e-10,5.274281305651906e-10,3.9246021807119933e-10,2.5883438491628867e-10
48,4.6259083918242866e-10,2.775635563193787e-10,1.4315053306857587e-10,4.655445440005962e-10,2.809083289531412e-10,1.4419411148375287e-10
49,3.9641420417172197e-10,2.041217044181171e-10,1.2775601777715074e-10,3.9917937387736176e-10,2.0501165811199052e-10,1.2793001591804835e-10
50,3.3398635934721167e-10,1.9611695857087638e-10,1.5731449115102375e-10,3.3618546742763253e-10,1.963095639930518e-10,1.572623898031678e-10
51,2.8840922126372743e-10,2.1602825298930602e-10,2.0350495195072179e-10,2.8966551975149524e-10,2.1639118390381766e-10,2.0328537693365475e-10
52,2.6993710040199857e-10,2.386658047292439e-10,2.381227199268862e-10,2.702507326153606e-10,2.3963323689360354e-10,2.410291248787179e-10
53,2.7260883567516656e-10,2.4046576395527435e-10,2.3199611015009657e-10,2.724554969870654e-10,2.407842316262231e-10,2.3457157371183384e-10
54,2.7895893032573067e-10,2.1021814091639386e-10,1.7420016362428432e-10,2.7889515421291383e-10,2.0913324767072064e-10,1.7243725893523628e-10
55,2.771212122829317e-10,1.9776283132019963e-10,1.4988668677377858e-10,2.776764982088452e-10,1.9708923599897273e-10,1.5181727525954574e-10
56,2.6637142179928854e-10,2.002167814039008e-10,1.6290509865497927e-10,2.6773834648468225e-10,2.0128718327186973e-10,1.6357456781695696e-10
57,2.5319231448294326e-10,1.9343726151603088e-10,1.7203732903405894e-10,2.549229419177583e-10,1.9642254629303081e-10,1.7287814050882127e-10
58,2.439699584554875e-10,1.859070651744307e-10,1.6824023170597277e-10,2.4564000537855074e-10,1.8587945355019205e-10,1.6791699905258023e-10
59,2.3949506766426654e-10,1.8870298743205652e-10,1.4785386303627435e-10,2.4117680497564033e-10,1.885506970933568e-10,1.5250483273138538e-10
60,2.373133779658748e-10,1.851717682641071e-10,1.5688789330840013e-10,2.3887537650510923e-10,1.8740930412975025e-10,1.5834627151748057e-10
61,2.3575860044556755e-10,1.8228011643299248e-10,1.5825418787623303e-10,2.3674145588988123e-10,1.8274258253273015e-10,1.5956342415021006e-10
62,2.3427031447314227e-10,1.8274841441555568e-10,1.525348051277605e-10,2.347938749566911e-10,1.8216813620738756e-10,1.5347941515959695e-10
63,2.3289276606211756e-10,1.7615023940728832e-10,1.4676728653750442e-10,2.340803949136573e-10,1.771110891247449e-10,1.4808148086653574e-10
64,2.3268597480232762e-10,1.8195438791042585e-10,1.5543290071275053e-10,2.342430427340204e-10,1.8188473566995503e-10,1.547823884906792e-10
65,2.348905527092668e-10,1.8777946832444283e-10,1.6203076144337351e-10,2.36256402719519e-10,1.8770918695475045e-10,1.6178864725588552e-10
66,2.3793567973926724e-10,1.7972020101858358e-10,1.5148572580492055e-10,2.392437683243336e-10,1.8133286167622392e-10,1.52228343986966e-10
67,2.401216413904135e-10,1.8799220567208605e-10,1.5869065961705468e-10,2.414637727856588e-10,1.8857400440076274e-10,1.5751803105947834e-10
68,2.410104457957011e-10,1.8276709479353757e-10,1.5077219957621336e-10,2.420516894476495e-10,1.8406756673502434e-10,1.538102292324655e-10
69,2.4480568481868673e-10,1.922398306830756e-10,1.7069927065923443e-10,2.4494204876398156e-10,1.9119004238533172e-10,1.689899106119576e-10
70,2.52028124872368e-10,1.9620006411420442e-10,1.6265260738133857e-10,2.5158084956062605e-10,1.9384766254748264e-10,1.6160870912142776e-10
71,2.6094291992339926e-10,1.967198549462044e-10,1.6445973851858753e-10,2.604933391063535e-10,1.958591088633492e-10,1.6043424548683541e-10
72,2.6945447100573705e-10,2.0599583176258426e-10,1.7546086483503057e-10,2.6959371952850284e-10,2.0648623934022865e-10,1.77035626163459e-10
73,2.770442295143037e-10,2.0863598708767128e-10,1.7274358604840692e-10,2.782191435787584e-10,2.108933308992957e-10,1.7640730642627041e-10
74,2.8516783993153194e-10,2.1790365341899063e-10,1.7913608624772068e-10,2.87818750437843e-10,2.2183196510502235e-10,1.8666421406560056e-10
75,2.9595014555888905e-10,2.255955231758266e-10,1.90970549182465e-10,3.0015576137585407e-10,2.3034334244321796e-10,1.912016279694657e-10
76,3.1039061343127673e-10,2.3566823147739756e-10,1.9951382546420318e-10,3.156860341191926e-10,2.416371723303025e-10,2.036680921734669e-10
77,3.28319694811416e-10,2.467101799079558e-10,2.0592807527517746e-10,3.3369063390537044e-10,2.5114545401649567e-10,2.0984474619402298e-10
78,3.4901841897002013e-10,2.6693068284732416e-10,2.2396340224872962e-10,3.5344165732126097e-10,2.689191704610392e-10,2.2432949363489023e-10
79,3.7167249836767356e-10,2.8709159678341956e-10,2.412472713813676e-10,3.7446885341361593e-10,2.8551243921795785e-10,2.375636218578951e-10
80,3.961104450259992e-10,3.066057133852177e-10,2.558211502140322e-10,3.9686143612682684e-10,3.0102393604316596e-10,2.4613354385658693e-10
81,4.225732156599571e-10,3.286812433440751e-10,2.7552451133836073e-10,4.210794991635606e-10,3.1709120468780066e-10,2.5663827391899604e-10
82,4.5138860766431036e-10,3.5258059514440583e-10,2.952921742378406e-10,4.475419488166895e-10,3.357567209802853e-10,2.73467754624318e-10
83,4.827322780317368e-10,3.7667288740150093e-10,3.217035687104593e-10,4.765426162028133e-10,3.547098821843755e-10,2.901722129717989e-10
84,5.167105476959892e-10,4.0200887266476547e-10,3.457898586966196e-10,5.082960953467037e-10,3.767617615477849e-10,3.162827463820305e-10
85,5.533069317925293e-10,4.3193058098992977e-10,3.739831949207131e-10,5.428422340214656e-10,4.0417084691388496e-10,3.404439227715124e-10
128,2.7900397603432917e-09,2.4532366202381394e-09,2.2294045898786813e-09,2.7875168426042436e-09,2.465982005108171e-09,2.2349174780541092e-09
