step,rms1,iqr1,gauss1,rms2,iqr2,gauss2
30,1.4218677324558173e-09,1.4173187666890925e-09,1.4184975045687086e-09,1.4248363865319998e-09,1.4226089838880162e-09,1.4261564637123549e-09
31,1.3902473686895378e-09,1.3868893850021211e-09,1.3853687462862659e-09,1.393278807572263e-09,1.3914248157260799e-09,1.3921542941776658e-09
32,1.358856978349871e-09,1.3568649683377185e-09,1.3563708026828155e-09,1.3619571241218184e-09,1.3607954762563867e-09,1.3626171766800466e-09
33,1.3276868408919257e-09,1.3248806404947703e-09,1.3243511670344451e-09,1.3308678042024999e-09,1.33106049734155e-09,1.3301833186309228e-09
34,1.2967135413853176e-09,1.2934708202882071e-09,1.2928904373582142e-09,1.2999857553907185e-09,1.2984680658778648e-09,1.2995011506927522e-09
35,1.2659056481626144e-09,1.2615506866685386e-09,1.261885075523549e-09,1.2692603288673526e-09,1.267278468528628e-09,1.2696597246690314e-09
36,1.2352090543383965e-09,1.2300425600230335e-09,1.2304113331537936e-09,1.2386170229621129e-09,1.237236793373031e-09,1.237952406166786e-09
37,1.2045157423377745e-09,1.1984636983136918e-09,1.1988257556234401e-09,1.2079527460477585e-09,1.2045325518855817e-09,1.207173345931559e-09
38,1.1736440317339865e-09,1.166944437240127e-09,1.1646287829447591e-09,1.1771096018742508e-09,1.1726550547607793e-09,1.1727350840052538e-09
39,1.142337444772905e-09,1.134490609044024e-09,1.1294462095855487e-09,1.1458322863217446e-09,1.1396487895725473e-09,1.1383668023317118e-09
40,1.110240551209359e-09,1.0997320544406684e-09,1.092616265770839e-09,1.1137418915668729e-09,1.1056605580973798e-09,1.1000240863836314e-09
41,1.0768319100284371e-09,1.0625221205117497e-09,1.0510147853835337e-09,1.0803268692563425e-09,1.0675570799510648e-09,1.0581914356685689e-09
42,1.0413863053886918e-09,1.0188738917750555e-09,1.0037727577630772e-09,1.0449074369114644e-09,1.0238761329979649e-09,1.0104868470195296e-09
43,1.0029629617906913e-09,9.701870387479684e-10,9.457245733561321e-10,1.0065953595725321e-09,9.754489924357866e-10,9.536416042665766e-10
44,9.603705829705548e-10,9.134807423253365e-10,8.811502617843172e-10,9.642616664142634e-10,9.176131410214391e-10,8.816509748326147e-10
45,9.121815477761073e-10,8.444727656338639e-10,7.972858008118163e-10,9.164953881515634e-10,8.482452595268313e-10,7.978742331475055e-10
46,8.568237174774893e-10,7.577449738877891e-10,6.814850378253317e-10,8.61637454687869e-10,7.652260880674576e-10,6.859904584934946e-10
47,7.927738601068907e-10,6.551119003444654e-10,5.38808167934705e-10,7.980125390546185e-10,6.63198371633254e-10,5.428477064693031e-10
48,7.19103102233778e-10,5.28886189392434e-10,3.4407961730366063e-10,7.244918628534582e-10,5.380677579073581e-10,3.823237728361577e-10
49,6.365565479735808e-10,3.851777280563151e-10,2.0893899752072683e-10,6.415650396424618e-10,3.9364205029845967e-10,2.159552307944967e-10
50,5.492820088379841e-10,2.869706462601736e-10,1.7925178896267156e-10,5.531607794941748e-10,2.8926581512519766e-10,1.8039444709405338e-10
51,4.671483102953375e-10,2.7426136123095053e-10,2.1767218096457818e-10,4.692055552072348e-10,2.7194455619206556e-10,2.1405776567084697e-10
52,4.0586087804479016e-10,3.012379486343788e-10,2.8205450524439023e-10,4.061470892972186e-10,2.9951934488211275e-10,2.792277621164363e-10
53,3.7838813247830846e-10,3.366079377809447e-10,3.403830756119992e-10,3.7812437991264006e-10,3.376065473862026e-10,3.397779075008751e-10
54,3.7985383867483436e-10,3.4926792815497773e-10,3.455352530054764e-10,3.8065124469779384e-10,3.5165462881836e-10,3.511093546544721e-10
55,3.900036200597519e-10,3.1394594315358265e-10,2.690261989267442e-10,3.92578797108097e-10,3.209076538025258e-10,2.784215316762651e-10
56,3.9268924732131366e-10,2.7569785847366076e-10,2.1410309689981252e-10,3.968318541126893e-10,2.78448629148808e-10,2.1248828431536072e-10
57,3.8389750003952064e-10,2.796134031820467e-10,2.2241238396554769e-10,3.889904957219124e-10,2.811693875356226e-10,2.19513274973165e-10
58,3.681153477033477e-10,2.894370967552701e-10,2.5030030043221965e-10,3.7330706182036853e-10,2.9161901022956915e-10,2.506632290239392e-10
59,3.53236301470073e-10,2.7769133316788485e-10,2.5232770462112916e-10,3.5737080457853384e-10,2.7931544436920556e-10,2.5215093170527394e-10
60,3.4544253211807743e-10,2.6440285873334325e-10,2.3817498943288385e-10,3.4771667896139746e-10,2.6503897598188456e-10,2.3847729355191046e-10
61,3.4461450210992123e-10,2.706357600108011e-10,2.1566751822491327e-10,3.45604852241352e-10,2.709077018400678e-10,2.2319018116680565e-10
62,3.4593335349728644e-10,2.688225332885363e-10,2.2114941091136469e-10,3.472122758736673e-10,2.7041584021009815e-10,2.2093374270119667e-10
63,3.461403154576445e-10,2.6320058868665393e-10,2.3098471937694652e-10,3.4878739269109217e-10,2.675898302685144e-10,2.339391333482864e-10
64,3.45298865719818e-10,2.702187336159167e-10,2.3917485057031907e-10,3.48965339449903e-10,2.7279541273714375e-10,2.4207042037990977e-10
65,3.450334144646909e-10,2.719734090470192e-10,2.2226310913084058e-10,3.4852160479302014e-10,2.7306642404756596e-10,2.2934756330888075e-10
66,3.4687038293530365e-10,2.6697022011187655e-10,2.236030974828615e-10,3.4956912116368133e-10,2.682618584425634e-10,2.244562256628762e-10
67,3.5069847851126467e-10,2.6807870161068926e-10,2.3244519871408596e-10,3.5312062303565973e-10,2.701895046545851e-10,2.3208856588729575e-10
68,3.557404560700208e-10,2.775639653967701e-10,2.35179378407936e-10,3.5828674739998497e-10,2.769645261832261e-10,2.367154764137926e-10
69,3.6259219961591596e-10,2.8566807696436217e-10,2.419443880619331e-10,3.646289391213383e-10,2.8570588428226697e-10,2.399156847818461e-10
70,3.7154862276678145e-10,2.834203345179911e-10,2.362260053677147e-10,3.7243292135185053e-10,2.8267335601511493e-10,2.4105280670116873e-10
71,3.82272933252952e-10,2.9251773273242805e-10,2.447306148459413e-10,3.8216724595121667e-10,2.9154481414500694e-10,2.472956662717397e-10
72,3.9430944248567613e-10,3.061724195369071e-10,2.579087554306951e-10,3.938208986495395e-10,3.031786881613102e-10,2.554889250309193e-10
73,4.071858006085818e-10,3.1394645363950716e-10,2.6868821131924737e-10,4.0703918653746407e-10,3.1333623872308493e-10,2.636963879324452e-10
74,4.2105119211242576e-10,3.2292197225649287e-10,2.80566371254635e-10,4.2238588675400314e-10,3.2541757124863113e-10,2.776719628428347e-10
75,4.371070358427776e-10,3.3043153547550067e-10,2.7303915416730693e-10,4.405615718833016e-10,3.3584432449365057e-10,2.8498145144791543e-10
76,4.566351193504782e-10,3.4927588259062014e-10,2.903930606848795e-10,4.619339858517477e-10,3.543239650720237e-10,2.923630651826753e-10
78,5.069429653728477e-10,3.9516366591030327e-10,3.3552706394792514e-10,5.14416910912525e-10,3.975393369860194e-10,3.3599432669038254e-10
79,5.378401970115071e-10,4.2073273871724063e-10,3.61852881992968e-10,5.453638755310275e-10,4.2186624704434595e-10,3.573093074759334e-10
80,5.725487868476522e-10,4.47249656279482e-10,3.8301851664233344e-10,5.794252029682449e-10,4.4828632081801453e-10,3.845451239069867e-10
81,6.109504058617947e-10,4.777782465060328e-10,4.1380527972069456e-10,6.166080623873024e-10,4.786137610435055e-10,4.1617938484837604e-10
82,6.528327747859821e-10,5.112246590120368e-10,4.454611507263553e-10,6.569456478828811e-10,5.117626873428337e-10,4.4331665836460715e-10
83,6.980312386861871e-10,5.504218129826321e-10,4.794157855178055e-10,7.004237369625388e-10,5.506515605585893e-10,4.729189792726284e-10
84,7.464264392887671e-10,5.922313085331012e-10,5.145215540768093e-10,7.469970239479216e-10,5.901037164083519e-10,5.065942567511059e-10
85,7.978894470511731e-10,6.349840838443577e-10,5.504902040541631e-10,7.965889817327478e-10,6.312000285625048e-10,5.438086369394303e-10
128,3.846579490182348e-09,3.4318148447901008e-09,3.1684072296091734e-09,3.810694259402551e-09,3.3930385176717138e-09,3.1071663549044376e-09
